City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,huarmey,-10.0681,-78.1522,24.41,84,92,5.05,PE,1707694670
1,minas de marcona,-15.2119,-75.1103,24.21,61,98,2.84,PE,1707694670
2,ushuaia,-54.8,-68.3,6.81,76,75,12.86,AR,1707694670
3,haiku-pauwela,20.9219,-156.3051,25.7,69,20,4.63,US,1707694670
4,nagqu,31.5,92.0,-13.36,63,100,1.58,CN,1707694670
5,port mathurin,-19.6833,63.4167,26.87,85,100,8.21,MU,1707694671
6,klyuchi,52.2667,79.1667,-13.98,87,83,7.42,RU,1707694671
7,kingston,17.997,-76.7936,26.53,65,20,11.32,JM,1707694621
8,port alfred,-33.5906,26.891,20.1,82,6,1.34,ZA,1707694671
9,butterworth,5.3991,100.3638,27.02,77,20,3.6,MY,1707694671
10,adamstown,-25.066,-130.1015,24.94,89,49,8.66,PN,1707694671
11,waitangi,-43.9535,-176.5597,16.01,80,96,2.24,NZ,1707694671
12,guerrero negro,27.9769,-114.0611,17.91,47,0,5.57,MX,1707694671
13,inari,68.906,27.0288,-19.89,100,79,2.52,FI,1707694671
14,utrik,11.2278,169.8474,26.09,79,100,10.71,MH,1707694672
15,west island,-12.1568,96.8225,26.99,83,68,3.09,CC,1707694672
16,tsiombe,-25.3,45.4833,24.1,98,99,1.67,MG,1707694672
17,siwa oasis,29.2041,25.5195,16.69,24,100,3.64,EG,1707694672
18,mount gambier,-37.8333,140.7667,26.45,32,1,0.76,AU,1707694628
19,edinburgh of the seven seas,-37.0676,-12.3116,17.32,73,13,8.05,SH,1707694672
20,kruisfontein,-34.0033,24.7314,18.82,89,50,3.05,ZA,1707694672
21,xichang,27.8964,102.2634,4.88,88,36,1.08,CN,1707694672
22,port-aux-francais,-49.35,70.2167,6.17,76,100,10.58,TF,1707694673
23,blackmans bay,-43.0167,147.3167,23.07,62,83,0.89,AU,1707694673
24,quelimane,-17.8786,36.8883,22.77,97,93,1.91,MZ,1707694673
25,m'sila,35.7058,4.5419,9.02,71,26,2.18,DZ,1707694673
26,selkirk,50.1436,-96.8845,-1.96,83,100,1.4,CA,1707694673
27,atafu village,-8.5421,-172.5159,28.82,75,100,6.5,TK,1707694673
28,bandarbeyla,9.4942,50.8122,25.41,71,41,2.63,SO,1707694673
29,revda,56.801,59.9303,-16.66,94,100,4.54,RU,1707694578
30,ola,59.5833,151.2833,-21.84,83,100,3.02,RU,1707694673
31,shahecheng,36.9383,114.5058,4.08,46,0,0.5,CN,1707694674
32,kodiak,57.79,-152.4072,1.73,93,0,2.06,US,1707694674
33,ribeira grande,38.5167,-28.7,17.1,89,0,8.49,PT,1707694674
34,pendleton,45.6721,-118.7886,13.78,45,100,2.06,US,1707694674
35,padampur,29.6833,73.6167,10.2,26,31,2.28,IN,1707694674
36,puerto ayora,-0.7393,-90.3518,28.08,91,31,1.34,EC,1707694674
37,ilulissat,69.2167,-51.1,-16.99,66,100,5.14,GL,1707694674
38,bethel,41.3712,-73.414,7.17,66,0,2.06,US,1707694674
39,taksimo,56.3444,114.8794,-8.98,72,88,5.55,RU,1707694674
40,jebba,9.1333,4.8333,31.47,16,66,1.55,NG,1707694675
41,hermanus,-34.4187,19.2345,21.0,64,2,3.73,ZA,1707694675
42,zayed city,24.3768,54.589,20.56,86,40,8.23,AE,1707694675
43,grytviken,-54.2811,-36.5092,2.94,92,87,6.66,GS,1707694675
44,badger,64.8,-147.5333,-3.49,89,75,0.0,US,1707694597
45,mulayjah,27.271,48.4242,15.53,74,93,1.27,SA,1707694675
46,port arthur,38.8,121.2667,1.12,80,0,4.56,CN,1707694675
47,selfoss,63.9331,-20.9971,-4.01,77,94,6.37,IS,1707694675
48,road town,18.4167,-64.6167,25.02,65,40,3.6,VG,1707694412
49,salaga,8.5508,-0.5188,31.05,11,0,1.76,GH,1707694676
50,padang,-0.9492,100.3543,25.03,82,21,1.8,ID,1707694676
51,fuji,35.1667,138.6833,8.31,66,25,1.09,JP,1707694676
52,bredasdorp,-34.5322,20.0403,17.83,88,34,1.58,ZA,1707694676
53,afaahiti,-17.75,-149.2833,26.7,94,68,10.69,PF,1707694676
54,iqaluit,63.7506,-68.5145,-25.15,62,40,2.06,CA,1707694676
55,vallenar,-28.5708,-70.7581,19.77,66,0,2.72,CL,1707694676
56,pacific grove,36.6177,-121.9166,16.61,77,0,4.63,US,1707694677
57,mountain home,43.133,-115.6912,6.71,44,0,3.09,US,1707694298
58,hawaiian paradise park,19.5933,-154.9731,25.73,84,75,4.63,US,1707694677
59,el calafate,-50.3408,-72.2768,9.4,52,16,8.79,AR,1707694677
60,machico,32.7,-16.7667,20.4,86,20,1.54,PT,1707694677
61,wynyard,-41.0,145.7167,23.83,38,42,2.07,AU,1707694677
62,uturoa,-16.7333,-151.4333,27.55,88,100,8.69,PF,1707694677
63,talnakh,69.4865,88.3972,-33.49,89,13,1.78,RU,1707694677
64,burang,30.25,81.1667,-20.0,33,3,0.87,CN,1707694678
65,nuuk,64.1835,-51.7216,-13.66,66,45,7.72,GL,1707694678
66,dudinka,69.4058,86.1778,-37.4,99,25,1.79,RU,1707694678
67,kapuskasing,49.4169,-82.4331,-6.95,93,100,1.03,CA,1707694678
68,san antonio de pale,-1.4014,5.6325,28.36,76,89,1.31,GQ,1707694678
69,thunder bay,48.4001,-89.3168,-2.01,63,75,4.12,CA,1707694678
70,carnarvon,-24.8667,113.6333,27.62,59,0,6.68,AU,1707694678
71,neiafu,-18.65,-173.9833,30.38,79,20,3.6,TO,1707694678
72,craig,40.5153,-107.5464,-3.21,58,0,3.09,US,1707694678
73,isangel,-19.55,169.2667,29.06,89,40,3.09,VU,1707694679
74,lebu,-37.6167,-73.65,15.17,87,50,11.13,CL,1707694679
75,nema,57.5067,50.5011,-22.18,99,100,2.26,RU,1707694679
76,berbera,10.4396,45.0143,25.13,83,4,1.7,SO,1707694679
77,papatowai,-46.5619,169.4708,18.24,47,100,3.43,NZ,1707694679
78,saudarkrokur,65.7461,-19.6394,0.08,82,100,8.19,IS,1707694679
79,nar'yan-mar,67.6713,53.087,-30.5,100,57,1.79,RU,1707694679
80,lompoc,34.6391,-120.4579,17.08,56,0,5.14,US,1707694679
81,tiksi,71.6872,128.8694,-34.83,100,100,0.48,RU,1707694680
82,lihue,21.9789,-159.3672,25.77,67,20,5.14,US,1707694680
83,invercargill,-46.4,168.35,15.57,72,90,1.79,NZ,1707694680
84,bilibino,68.0546,166.4372,-31.64,100,73,1.22,RU,1707694680
85,palmer,42.1584,-72.3287,5.42,63,75,4.63,US,1707694411
86,mount pearl,47.5166,-52.7813,1.29,92,100,2.57,CA,1707694680
87,morant bay,17.8815,-76.4093,26.79,97,9,0.9,JM,1707694680
88,raja,8.4596,25.678,25.02,21,16,2.3,SS,1707694680
89,behshahr,36.6923,53.5526,5.97,58,38,1.22,IR,1707694681
90,al majaridah,19.1236,41.9111,22.88,69,21,0.87,SA,1707694681
91,olonkinbyen,70.9221,-8.7187,-2.6,62,100,3.85,SJ,1707694681
92,sinabang,2.4803,96.3801,26.71,79,6,0.54,ID,1707694681
93,fort bragg,35.139,-79.006,18.75,87,0,0.45,US,1707694681
94,sur,22.5667,59.5289,21.98,81,99,2.74,OM,1707694681
95,toliara,-23.35,43.6667,27.59,81,89,8.11,MG,1707694681
96,cidreira,-30.1811,-50.2056,24.32,92,78,1.21,BR,1707694682
97,beaudesert,-27.9833,152.9833,28.48,37,50,5.34,AU,1707694682
98,ulan bator,47.9077,106.8832,-16.93,78,40,1.0,MN,1707694396
99,peterhead,57.5058,-1.7981,4.22,88,100,3.68,GB,1707694393
100,idaho falls,43.4666,-112.0341,1.05,69,75,3.09,US,1707694682
101,yulinshi,38.2906,109.7494,-0.26,36,0,2.81,CN,1707694682
102,thompson,55.7435,-97.8558,-9.91,85,100,1.03,CA,1707694682
103,luderitz,-26.6481,15.1594,17.06,96,1,3.29,NA,1707694682
104,polyarnyy,69.1989,33.4478,-18.09,97,100,2.33,RU,1707694683
105,otacilio costa,-27.4831,-50.1219,20.57,81,75,1.19,BR,1707694683
106,albany,42.6001,-73.9662,3.23,70,83,1.34,US,1707694683
107,longyearbyen,78.2186,15.6401,-7.09,73,75,6.17,SJ,1707694665
108,viedma,-40.8135,-62.9967,30.43,23,34,6.15,AR,1707694683
109,side,36.7667,31.3885,15.13,68,100,2.85,TR,1707694683
110,ak'ordat,15.5486,37.8867,19.64,67,2,1.2,ER,1707694683
111,westport,41.1415,-73.3579,7.87,63,0,2.06,US,1707694633
112,puerto natales,-51.7236,-72.4875,6.58,81,75,6.65,CL,1707694684
113,aasiaat,68.7098,-52.8699,-27.83,99,96,3.71,GL,1707694684
114,arkhara,49.4212,130.0842,-10.13,86,100,5.36,RU,1707694684
115,yellowknife,62.456,-114.3525,-9.71,85,20,1.03,CA,1707694502
116,udachny,66.4167,112.4,-31.31,98,100,2.97,RU,1707694684
117,bardai,11.65,7.2333,23.28,17,5,3.77,NG,1707694684
118,sabana grande de boya,18.945,-69.7933,26.22,77,0,2.37,DO,1707694684
119,coari,-4.085,-63.1414,23.96,99,100,1.08,BR,1707694684
120,lodja,-3.4833,23.4333,21.32,87,98,0.66,CD,1707694684
121,gadzhiyevo,69.2551,33.3362,-14.01,92,100,3.17,RU,1707694685
122,saint-mandrier-sur-mer,43.078,5.929,11.78,67,0,8.23,FR,1707694685
123,pennsville,39.6535,-75.5166,9.62,66,100,1.54,US,1707694685
124,papayal,-4.0761,-80.7361,25.67,83,93,0.91,PE,1707694685
125,punta arenas,-53.15,-70.9167,10.06,50,20,11.83,CL,1707694631
126,mammoth lakes,37.6485,-118.9721,2.4,38,0,0.0,US,1707694685
127,mopti,14.6667,-4.0,26.07,8,0,3.49,ML,1707694686
128,st. john's,47.5649,-52.7093,1.75,92,100,2.57,CA,1707694400
129,colonia,50.9333,6.95,8.87,82,100,2.06,DE,1707694439
130,marquette,46.5333,-87.6335,-1.24,67,100,2.74,US,1707694686
131,stanley,54.868,-1.6985,3.01,94,0,3.6,GB,1707694686
132,tazacorte,28.629,-17.9293,19.54,78,100,3.09,ES,1707694686
133,basoko,1.2391,23.616,25.49,64,91,1.52,CD,1707694686
134,susuman,62.7833,148.1667,-34.99,100,100,0.35,RU,1707694686
135,abu zabad,12.35,29.25,19.87,12,1,4.8,SD,1707694687
136,bredy,52.4153,60.3411,-22.17,100,33,2.77,RU,1707694687
137,fortuna,40.5982,-124.1573,14.43,89,100,4.63,US,1707694687
138,praia da vitoria,38.7333,-27.0667,17.14,82,40,11.79,PT,1707694687
